True;Country_Name;Regional indicator;Ladder score;Standard error of ladder score;upperwhisker;lowerwhisker;Logged GDP per capita;Social support;Healthy life expectancy;Freedom to make life choices;Generosity;Perceptions of corruption;Ladder score in Dystopia;Explained by: Log GDP per capita;Explained by: Social support;Explained by: Healthy life expectancy;Explained by: Freedom to make life choices;Explained by: Generosity;Explained by: Perceptions of corruption;Dystopia + residual;cost of living index;cost of living plus rent index;Groceries index;restaurant price index;local purchasing power index;time_available_on_site;required visa for french citizen
97;Iran;Middle East and North Africa;4,721;0,055;4,828;4,614;9,584;0,71;66,3;0,608;0,218;0,714;2,43;1,03;0,557;0,561;0,275;0,33;0,144;1,823;37.39;27.85;29.46;25.18;17.98;30 days;Evisa
98;Uganda;Sub-Saharan Africa;4,636;0,073;4,78;4,493;7,677;0,781;56,101;0,709;0,122;0,855;2,43;0,364;0,718;0,24;0,398;0,267;0,054;2,596;33.50;22.10;31.00;24.85;11.41;90 days;Evisa
99;Kenya;Sub-Saharan Africa;4,607;0,072;4,747;4,466;8,361;0,688;60,704;0,779;0,287;0,825;2,43;0,603;0,508;0,385;0,483;0,375;0,073;2,18;33.92;22.11;31.27;28.82;32.18;3 months;Evisa
100;Tunisia;Middle East and North Africa;4,596;0,058;4,709;4,484;9,266;0,691;67,201;0,656;-0,201;0,87;2,43;0,919;0,515;0,59;0,334;0,057;0,044;2,138;27.87;17.30;27.36;15.96;27.83;90 days;not required
101;Lebanon;Middle East and North Africa;4,584;0,055;4,691;4,477;9,626;0,848;67,355;0,525;-0,073;0,898;2,43;1,045;0,868;0,595;0,175;0,14;0,026;1,736;69.62;48.61;66.83;54.25;35.12;1 month;required to stay
102;Myanmar;Southeast Asia;4,426;0,052;4,527;4,324;8,541;0,779;59,302;0,876;0,509;0,66;2,43;0,666;0,713;0,341;0,601;0,52;0,178;1,407;35.67;28.87;37.63;20.00;13.84;28 days;Evisa
103;Jordan;Middle East and North Africa;4,395;0,062;4,516;4,273;9,182;0,767;67,0;0,755;-0,167;0,705;2,43;0,89;0,685;0,583;0,455;0,079;0,15;1,553;49.19;30.46;40.81;41.16;31.34;1 month;required to stay
104;Sri Lanka;South Asia;4,325;0,066;4,454;4,196;9,47;0,827;67,299;0,841;0,079;0,863;2,43;0,99;0,82;0,593;0,559;0,239;0,049;1,075;31.29;20.48;37.67;17.27;19.27;30 days;Evisa
105;Egypt;Middle East and North Africa;4,283;0,045;4,371;4,195;9,367;0,75;61,998;0,749;-0,182;0,795;2,43;0,954;0,647;0,426;0,446;0,069;0,092;1,648;29.52;18.41;27.42;23.42;21.54;30 days;Evisa
106;Ethiopia;Sub-Saharan Africa;4,275;0,051;4,374;4,175;7,694;0,764;59,0;0,752;0,082;0,761;2,43;0,37;0,679;0,331;0,451;0,241;0,114;2,089;47.49;33.14;36.68;18.03;10.15;up to 90 days;Evisa
107;Zambia;Sub-Saharan Africa;4,073;0,069;4,209;3,938;8,145;0,708;55,809;0,782;0,061;0,823;2,43;0,528;0,552;0,231;0,487;0,227;0,074;1,975;33.04;21.90;31.53;22.46;40.33;90 days;Evisa
108;India;South Asia;3,819;0,026;3,869;3,769;8,755;0,603;60,633;0,893;0,089;0,774;2,43;0,741;0,316;0,383;0,622;0,246;0,106;1,405;24.43;15.47;26.43;17.56;49.72;60 days;Evisa
109;Yemen;Middle East and North Africa;3,658;0,07;3,794;3,521;7,578;0,832;57,122;0,602;-0,147;0,8;2,43;0,329;0,831;0,272;0,268;0,092;0,089;1,776;53.14;31.38;67.12;24.74;14.41;/;particular country information on embassy site
110;Tanzania;Sub-Saharan Africa;3,623;0,071;3,762;3,485;7,876;0,702;57,999;0,833;0,183;0,577;2,43;0,433;0,54;0,3;0,549;0,307;0,231;1,263;32.81;23.23;30.04;24.86;15.97;3 months;Evisa
111;Botswana;Sub-Saharan Africa;3,467;0,074;3,611;3,322;9,782;0,784;59,269;0,824;-0,246;0,801;2,43;1,099;0,724;0,34;0,539;0,027;0,088;0,648;40.17;26.12;35.16;42.50;62.63;90 days;not required
112;Rwanda;Sub-Saharan Africa;3,415;0,068;3,548;3,282;7,676;0,552;61,4;0,897;0,061;0,167;2,43;0,364;0,202;0,407;0,627;0,227;0,493;1,095;31.62;24.25;27.71;27.99;26.82;30 days;Evisa
113;Zimbabwe;Sub-Saharan Africa;3,145;0,058;3,259;3,03;7,943;0,75;56,201;0,677;-0,047;0,821;2,43;0,457;0,649;0,243;0,359;0,157;0,075;1,205;45.68;28.37;39.88;38.13;19.07;3 months;Evisa
114;Afghanistan;South Asia;2,523;0,038;2,596;2,449;7,695;0,463;52,493;0,382;-0,102;0,924;2,43;0,37;0,0;0,126;0,0;0,122;0,01;1,895;20.37;12.09;14.92;12.41;23.04;/;particular country information on embassy site
